epi,t,cgm,meal,ins,rew,rl_ins,mu,sigma,prob,state_val,day_hour,day_min
1,0,122.021066,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,0
1,1,121.8166075796822,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,5
1,2,121.37272701116902,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,10
1,3,120.8367484660713,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,15
1,4,120.28124602977466,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,20
1,5,119.74553360257799,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,25
1,6,119.25287267193285,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,30
1,7,118.81798309711796,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,35
1,8,118.4505342224944,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,40
1,9,118.15688765746592,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,45
1,10,117.94103710006216,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,50
1,11,117.80515808271137,0.0,0.0,nan,0.0,nan,nan,nan,nan,0,55
1,12,117.74994229970596,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,0
1,13,117.77479593345053,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,5
1,14,117.87803888734553,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,10
1,15,118.05710204944465,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,15
1,16,118.3086838374405,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,20
1,17,118.62887198869095,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,25
1,18,119.01324373997711,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,30
1,19,119.45695347664481,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,35
1,20,119.95481263749157,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,40
1,21,120.50136397780169,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,45
1,22,121.09097360830161,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,50
1,23,121.71815005021737,0.0,0.0,nan,0.0,nan,nan,nan,nan,1,55
1,24,122.37773406883325,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,0
1,25,123.0649200560833,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,5
1,26,123.77603308120815,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,10
1,27,124.50872260389183,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,15
1,28,125.26105382810924,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,20
1,29,126.03107031056655,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,25
1,30,126.81664458366741,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,30
1,31,127.61544561834174,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,35
1,32,128.42495308356354,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,40
1,33,129.2424891693363,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,45
1,34,130.06525564802442,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,50
1,35,130.89037098476666,0.0,0.0,nan,0.0,nan,nan,nan,nan,2,55
1,36,131.71490536873975,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,0
1,37,132.5359500324653,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,5
1,38,133.35121368170644,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,10
1,39,134.1593535580989,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,15
1,40,134.95953605765678,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,20
1,41,135.75118708304157,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,25
1,42,136.53387516895083,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,30
1,43,137.30725397789715,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,35
1,44,138.07103272701283,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,40
1,45,138.8249603526401,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,45
1,46,139.56881670471293,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,50
1,47,140.30240745489223,0.0,0.0,nan,0.0,nan,nan,nan,nan,3,55
1,48,141.02556101219594,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,0
1,49,141.73812653917912,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,5
1,50,142.43997257494692,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,10
1,51,143.13098599210312,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,15
1,52,143.81107113572563,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,20
1,53,144.4801490599204,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,25
1,54,145.13815681552572,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,30
1,55,145.78504676407087,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,35
1,56,146.42078590528388,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,40
1,57,147.04535521228735,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,45
1,58,147.65874897240997,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,50
1,59,148.2609741335714,0.0,0.0,nan,0.0,nan,nan,nan,nan,4,55
1,60,148.8520496572274,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,0
1,61,149.4320058793184,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,5
1,62,150.00088388080843,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,10
1,63,150.55873486936912,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,15
1,64,151.10561957364314,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,20
1,65,151.6416076513602,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,25
1,66,152.16677711240226,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,30
1,67,152.68121375773754,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,35
1,68,153.18501063497658,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,40
1,69,153.67826751114424,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,45
1,70,154.1610903631218,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,50
1,71,154.6335908860817,0.0,0.0,nan,0.0,nan,nan,nan,nan,5,55
1,72,155.0958860201223,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,0
1,73,155.55072002366762,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,5
1,74,156.03268471483213,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,10
1,75,156.76314833249253,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,15
1,76,158.4221466238593,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,20
1,77,161.51932537863493,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,25
1,78,166.07794740723102,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,30
1,79,171.77199831514054,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,35
1,80,178.07193400818318,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,40
1,81,184.39105639226875,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,45
1,82,190.25762574479094,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,50
1,83,195.42136848022056,0.0,0.0,nan,0.0,nan,nan,nan,nan,6,55
1,84,199.83037208940473,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,0
1,85,203.54942327151426,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,5
1,86,206.6883351367747,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,10
1,87,209.35943916529084,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,15
1,88,211.65882421470118,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,20
1,89,213.66142677910338,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,25
1,90,215.42258632708655,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,30
1,91,216.98185047073764,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,35
1,92,218.36700644581498,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,40
1,93,219.59754023891014,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,45
1,94,220.68732228200224,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,50
1,95,221.64657246012274,0.0,0.0,nan,0.0,nan,nan,nan,nan,7,55
1,96,222.4832419780251,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,0
1,97,223.20395640988406,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,5
1,98,223.81463390666056,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,10
1,99,224.32091735430973,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,15
1,100,224.7285059409277,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,20
1,101,225.04341466689777,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,25
1,102,225.27220565952638,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,30
1,103,225.4222293315314,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,35
1,104,225.50190477839402,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,40
1,105,225.52106523579818,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,45
1,106,225.4913934771899,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,50
1,107,225.4269664432556,0.0,0.0,nan,0.0,nan,nan,nan,nan,8,55
1,108,225.34489457044222,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,0
1,109,225.26591100304657,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,5
1,110,225.2143765938047,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,10
1,111,225.216289647278,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,15
1,112,225.2928607997044,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,20
1,113,225.44865872356942,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,25
1,114,225.6604909795731,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,30
1,115,225.8786147794278,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,35
1,116,226.0422828762698,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,40
1,117,226.09805451957612,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,45
1,118,226.01039000894025,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,50
1,119,225.7632385759903,0.0,0.0,nan,0.0,nan,nan,nan,nan,9,55
1,120,225.35638048273626,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,0
1,121,224.80024750272713,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,5
1,122,224.1112706259451,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,10
1,123,223.30844034038006,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,15
1,124,222.4110618502032,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,20
1,125,221.43744071771093,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,25
1,126,220.40420977112217,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,30
1,127,219.3260629720781,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,35
1,128,218.2157298518375,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,40
1,129,217.08408117891273,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,45
1,130,215.9402978707145,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,50
1,131,214.7920628479715,0.0,0.0,nan,0.0,nan,nan,nan,nan,10,55
1,132,213.64575315526272,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,0
1,133,212.5066204798996,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,5
1,134,211.37895461750577,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,10
1,135,210.26622811037987,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,15
1,136,209.171222297963,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,20
1,137,208.09613604253963,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,25
1,138,207.0426788427462,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,30
1,139,206.0121496981116,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,35
1,140,205.00550110590373,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,40
1,141,204.02339505210605,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,45
1,142,203.0662538827064,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,50
1,143,202.13430282080168,0.0,0.0,nan,0.0,nan,nan,nan,nan,11,55
1,144,201.22760506570455,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,0
1,145,200.3460910077127,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,5
1,146,199.4895826408933,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,10
1,147,198.6578139965602,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,15
1,148,197.85044825396335,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,20
1,149,197.06709206593058,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,25
1,150,196.30730754582044,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,30
1,151,195.57062228880397,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,35
1,152,194.8565377402841,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,40
1,153,194.16453617423235,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,45
1,154,193.49408650240835,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,50
1,155,192.84464910035783,0.0,0.0,nan,0.0,nan,nan,nan,nan,12,55
1,156,192.21567980662823,0.0,0.0,nan,0.0,nan,nan,nan,nan,13,0
1,157,191.60659103440977,0.0,0.0,nan,0.0,nan,nan,nan,nan,13,5
1,158,191.01649497397023,0.0,0.0,nan,0.0,nan,nan,nan,nan,13,10
1,159,190.4445717518056,0.0,0.0,nan,0.0,nan,nan,nan,nan,13,15
1,160,189.89018428883443,0.0,0.0,nan,0.0,nan,nan,nan,nan,13,20
